,Total Drones,Active Drones,Collisions,Completed Deliveries,Avg Delivery Time [minutes],Deliveries Per Minute,Time Per Meter [seconds],Min Altitude,Mean Altitude,Max Altitude
86,40,40,0,1,0.6,0.6896551724137931,1.5,23.413020613933085,63.03586463982221,89.04956204856666
87,40,40,0,1,0.6,0.6818181818181819,1.5,20.413020613933085,63.35145460021151,89.60408656070615
88,40,40,0,1,0.6,0.6741573033707865,1.5,17.413020613933085,63.23904792635492,89.55681161606559
89,40,40,0,1,0.6,0.6666666666666667,1.5,14.413020613933085,63.07892739746344,89.09485050173434
90,40,40,0,1,0.6,0.6593406593406594,1.5,11.413020613933085,62.41078633944902,88.90894253459129
91,40,40,0,1,0.6,0.6521739130434783,1.5,9.0,61.827055925004785,93.69388928855646
92,40,40,0,1,0.6,0.6451612903225807,1.5,9.0,61.79144532097693,96.46458455443515
93,40,40,0,2,0.65,1.2765957446808511,0.8297872340425532,9.5,61.211146771072926,96.39122244992863
94,40,40,0,2,0.65,1.263157894736842,0.8297872340425532,14.5,61.60350455756138,96.42159955577358
95,40,40,0,2,0.65,1.25,0.8297872340425532,17.930921126227673,60.66235081578657,91.38770359150206
96,40,40,0,2,0.65,1.2371134020618557,0.8297872340425532,14.930921126227673,59.870780583168724,91.52888516602334
97,40,40,0,2,0.65,1.2244897959183672,0.8297872340425532,11.930921126227673,58.60482291110825,88.73266104929638
98,40,40,0,2,0.65,1.2121212121212122,0.8297872340425532,9.0,58.61312578019272,94.81405417861916
99,40,40,0,2,0.65,1.2,0.8297872340425532,9.0,58.35519766923219,99.70106209277077
100,40,40,0,2,0.65,1.188118811881188,0.8297872340425532,10.970571564705907,57.91284155484294,99.60612832346307
101,40,40,0,2,0.65,1.1764705882352942,0.8297872340425532,9.0,57.950757685929695,93.2388523312396
102,40,40,0,2,0.65,1.1650485436893203,0.8297872340425532,9.0,57.873372351271726,93.30970542460304
103,40,40,0,2,0.65,1.153846153846154,0.8297872340425532,9.0,58.09175364474119,92.16219172384221
104,40,40,0,2,0.65,1.142857142857143,0.8297872340425532,9.267997432515358,58.597041321134895,92.00721305195627
105,40,40,0,2,0.65,1.1320754716981132,0.8297872340425532,14.267997432515358,58.04357940063393,90.36614129827733
106,40,40,0,2,0.65,1.1214953271028036,0.8297872340425532,12.325586344894717,58.24989052254856,90.22899114935544
107,40,40,0,2,0.65,1.1111111111111112,0.8297872340425532,9.325586344894717,59.49035056710785,100.88079078210086
108,40,40,0,2,0.65,1.1009174311926606,0.8297872340425532,9.325586344894717,59.432687886670486,90.04363364217261
109,40,40,0,2,0.65,1.0909090909090908,0.8297872340425532,14.325586344894717,59.5852942573796,90.07284394285163
110,40,40,0,2,0.65,1.0810810810810811,0.8297872340425532,16.89444742779989,60.21127983476007,100.74720729237154
111,40,40,0,2,0.65,1.0714285714285714,0.8297872340425532,13.89444742779989,60.29101963748779,100.62152545576988
112,40,40,0,2,0.65,1.0619469026548671,0.8297872340425532,10.89444742779989,58.82170684437675,92.33075860821403
113,40,40,0,2,0.65,1.0526315789473684,0.8297872340425532,9.0,58.63123508640972,92.44560246902135
114,40,40,0,3,0.8,1.5652173913043477,0.5737051792828686,9.0,58.53836041367632,87.90683984784687
115,40,40,0,3,0.8,1.5517241379310345,0.5737051792828686,9.0,58.070433929677094,87.73687604903023
116,40,40,0,3,0.8,1.5384615384615383,0.5737051792828686,9.0,58.61245658302786,101.82504086260548
117,40,40,0,3,0.8,1.5254237288135595,0.5737051792828686,9.918565390908512,59.593451672129085,101.80053477511777
118,40,40,0,3,0.8,1.5126050420168067,0.5737051792828686,9.918565390908512,58.89462356271937,101.62019832930973
119,40,40,0,3,0.8,1.5,0.5737051792828686,14.918565390908512,59.022881168737,101.68504975728186
120,40,40,0,3,0.8,1.487603305785124,0.5737051792828686,14.011497536964356,59.74224935437079,100.51070345892816
121,40,40,0,3,0.8,1.4754098360655736,0.5737051792828686,11.011497536964356,60.01319170348413,101.53149526758851
122,40,40,0,3,0.8,1.4634146341463414,0.5737051792828686,9.0,61.211709568418506,101.40531071467231
123,40,40,0,3,0.8,1.4516129032258065,0.5737051792828686,9.0,60.293379804371014,100.53035939438115
124,40,39,0,3,0.8,1.44,0.5737051792828686,14.0,62.12269082055074,101.44245687677906
125,40,40,0,3,0.8,1.4285714285714284,0.5737051792828686,15.0,61.09505465246427,101.4879136192368
126,40,40,0,3,0.8,1.4173228346456692,0.5737051792828686,20.0,61.086098523694396,101.2883894209729
127,40,40,0,3,0.8,1.40625,0.5737051792828686,18.242653821502955,61.10324877883882,101.48397492090187
128,40,40,0,3,0.8,1.3953488372093024,0.5737051792828686,15.242653821502955,60.75299500457322,101.55326085065322
129,40,40,0,3,0.8,1.3846153846153846,0.5737051792828686,12.242653821502955,60.81970483731597,101.38352808389348
130,40,40,0,3,0.8,1.3740458015267176,0.5737051792828686,9.5,60.06272311496313,101.53147839134095
131,40,40,0,4,0.8083333333333333,1.8181818181818183,0.5878787878787879,9.5,61.267345516484475,101.61283381354417
132,40,40,0,4,0.8083333333333333,1.8045112781954886,0.5878787878787879,9.37650728072947,62.33222233016862,101.71627478740243
133,40,40,0,4,0.8083333333333333,1.791044776119403,0.5878787878787879,9.37650728072947,62.42454206023947,101.59206191169059
134,40,40,0,4,0.8083333333333333,1.777777777777778,0.5878787878787879,9.0,62.244875698299936,101.49424903558277
135,40,40,0,4,0.8083333333333333,1.7647058823529411,0.5878787878787879,9.0,61.635426443534,101.31115141127735
136,40,40,0,4,0.8083333333333333,1.751824817518248,0.5878787878787879,9.5,61.448717059696015,101.42204272502184
137,40,40,0,5,0.8466666666666666,2.1739130434782608,0.5990566037735849,9.0,63.14331183196292,101.4859319989381
